"source_query","normalized_query","topic","intent","funnel_stage","sources","brand_flag","negative_flag","reject_reason","manual_review","wordstat_broad","wordstat_phrase","wordstat_region","wordstat_operator_broad","wordstat_operator_phrase","wordstat_period_start","wordstat_period_end","wordstat_captured_at","serp_observed","serp_engines","serp_region","serp_captured_at","notes"
"система поддержки клиентов","система поддержки клиентов","category","commercial_investigation","consideration","seed:research_plan|wordstat-frequency-snapshot.csv|03-serp-snapshots-partial.csv","false","false","","false","329","0","Россия","broad","phrase","2026-07-07","2026-08-05","2026-08-07","true","google_web|yandex","Russia (lr=225)|Russia preference (gl=ru)","2026-08-07","Базовая гипотеза категории; проверить тип страниц и спрос Базовая категория"
"программа для поддержки клиентов","программа для поддержки клиентов","category","commercial_investigation","consideration","seed:current_site","false","false","","false","","","","","","","","","false","","","","Продуктовая формулировка без привязки к ITSM"
"сервис поддержки клиентов","сервис поддержки клиентов","category","commercial_investigation","consideration","seed:research_plan|wordstat-frequency-snapshot.csv|03-serp-snapshots-partial.csv","false","false","","true","663","0","Все регионы","broad","phrase","2026-07-07","2026-08-05","2026-08-07","true","google_web|yandex","Russia (lr=225)|Russia preference (gl=ru)","2026-08-07","Может означать аутсорсинг; проверить состав выдачи Может означать аутсорсинг поддержки Wordstat: отдельный срез «Россия» отсутствовал; сохранён «Все регионы», без суммирования регионов."
"платформа клиентской поддержки","платформа клиентской поддержки","category","commercial_investigation","consideration","seed:current_site|wordstat-frequency-snapshot.csv","false","false","","false","13","0","Все регионы","broad","phrase","2026-07-06","2026-08-06","2026-08-07","false","","","","Соответствует публичному позиционированию платформы Релевантная платформенная формулировка Wordstat: отдельный срез «Россия» отсутствовал; сохранён «Все регионы», без суммирования регионов."
"helpdesk для клиентов","helpdesk для клиентов","category","commercial_investigation","consideration","seed:market_language:happydesk.ru","false","false","","false","","","","","","","","","false","","","","Проверить вариант helpdesk и русское написание"
"хелпдеск для бизнеса","хелпдеск для бизнеса","category","commercial_investigation","consideration","seed:market_language:happydesk.ru","false","false","","false","","","","","","","","","false","","","","Коммерческая русскоязычная формулировка категории"
"help desk для службы поддержки","helpdesk для службы поддержки","category","commercial_investigation","consideration","seed:market_language:shanix.ru","false","false","","true","","","","","","","","","false","","","","Раздельное написание; возможна примесь внутренней IT-поддержки"
"service desk для клиентов","service desk для клиентов","category","commercial_investigation","consideration","seed:market_language:shanix.ru","false","false","","true","","","","","","","","","false","","","","Термин часто относится к внутреннему ITSM; нужен SERP-review"
"система обработки обращений клиентов","система обработки обращений клиентов","category","solution_discovery","consideration","seed:product_requirements","false","false","","false","","","","","","","","","false","","","","Соответствует учёту и жизненному циклу обращений"
"система учета обращений клиентов","система учета обращений клиентов","category","solution_discovery","consideration","seed:market_language:shanix.ru","false","false","","true","","","","","","","","","false","","","","Возможна выдача CRM и государственных систем обращений"
"тикет система для поддержки клиентов","тикет система для поддержки клиентов","category","commercial_investigation","consideration","seed:market_language:okdesk.ru","false","false","","false","","","","","","","","","false","","","","Рыночный синоним helpdesk; проверить дефис и словоформы"
