competitor_id,brand,domain,competitor_type,recurring_clusters,serp_appearances,product_overlap,pricing_visible,primary_cta,reason_included,last_checked,source_url,notes
"comp-001","Kaiten","kaiten.ru","прямой продуктовый конкурент","category; automation","8","high: helpdesk/service desk and customer-support workflow","unknown_not_checked","unknown_not_checked","8 rows across 4 queries in both engines; product feature and educational/listicle pages rank","2026-08-07","https://kaiten.ru/features/service-desk/","draft_from_12_query_top5_slice; distinct_queries=4; engines=yandex|google_web; pricing and CTA require SEM-06 page audit"
"comp-002","Usedesk","usedesk.ru","прямой продуктовый конкурент","category; website_chat; automation","7","high: omnichannel customer support, ticketing and automation","unknown_not_checked","unknown_not_checked","7 rows across 5 queries in both engines; homepage, guides and channel content rank","2026-08-07","https://usedesk.ru/","draft_from_12_query_top5_slice; distinct_queries=5; engines=yandex|google_web; docs.usedesk.ru routing result is counted under the same product family only in notes, not in this domain total"
"comp-003","Okdesk","okdesk.ru","прямой продуктовый конкурент","category; sla; api_integrations","4","high: service/help desk, SLA and API","unknown_not_checked","unknown_not_checked","4 rows across 4 queries in both engines; homepage, SLA article and API documentation rank","2026-08-07","https://okdesk.ru/","draft_from_12_query_top5_slice; distinct_queries=4; engines=yandex|google_web; pricing and CTA require SEM-06 page audit"
"comp-004","HappyDesk","happydesk.ru","прямой продуктовый конкурент","category; sla","4","high: helpdesk, tickets, chat, knowledge base and SLA","unknown_not_checked","unknown_not_checked","4 rows across 3 queries in both engines; homepage and SLA article rank","2026-08-07","https://happydesk.ru/","draft_from_12_query_top5_slice; distinct_queries=3; engines=yandex|google_web; pricing and CTA require SEM-06 page audit"
"comp-005","HelpDeskEddy","helpdeskeddy.ru","прямой продуктовый конкурент","category; ai_bot; api_integrations","3","high: helpdesk with AI and API","unknown_not_checked","unknown_not_checked","3 rows across 3 strategic queries in both engines; homepage, AI feature and API documentation rank","2026-08-07","https://helpdeskeddy.ru/","draft_from_12_query_top5_slice; distinct_queries=3; engines=yandex|google_web; pricing and CTA require SEM-06 page audit"
"comp-006","Naumen","naumen.ru","прямой продуктовый конкурент","category; automation","3","high: service desk and customer service management","unknown_not_checked","unknown_not_checked","3 rows across 2 queries in both engines; educational and product solution pages rank","2026-08-07","https://www.naumen.ru/products/csm/","draft_from_12_query_top5_slice; distinct_queries=2; engines=yandex|google_web; www and apex hostnames normalized to naumen.ru"
"comp-007","ITSM 365","itsm365.com","прямой продуктовый конкурент","omnichannel; sla","2","high: omnichannel support and SLA controls","unknown_not_checked","unknown_not_checked","2 Yandex rows across 2 strategic solution clusters; product page and guide rank","2026-08-07","https://itsm365.com/product/support/omnichannel/","draft_from_12_query_top5_slice; distinct_queries=2; engines=yandex; repeat Google visibility not observed in this partial top5"
"comp-008","Jivo","jivo.ru","смежный конкурент","automation; ai_bot; api_integrations","4","medium: customer communications and AI support content; broader than helpdesk","unknown_not_checked","unknown_not_checked","4 rows across 3 queries in both engines; AI-support article repeats and API explainer ranks","2026-08-07","https://www.jivo.ru/blog/tutorials-jivo/ai-chatbot-support.html","draft_from_12_query_top5_slice; distinct_queries=3; engines=yandex|google_web; API query result was generic and marked non-target in snapshot"
"comp-009","AutoFAQ","autofaq.ai","смежный конкурент","automation; ai_bot","4","medium-high: AI automation for customer and employee support","unknown_not_checked","unknown_not_checked","4 rows across 2 strategic AI/automation queries in both engines; homepage and guides rank","2026-08-07","https://autofaq.ai/","draft_from_12_query_top5_slice; distinct_queries=2; engines=yandex|google_web; pricing and CTA require SEM-06 page audit"
"comp-010","Webim","webim.ru","смежный конкурент","omnichannel; website_chat","2","medium: omnichannel chat platform and website chat","unknown_not_checked","unknown_not_checked","2 Google rows across 2 channel clusters; homepage and dedicated chat page rank","2026-08-07","https://webim.ru/chat-for-site/","draft_from_12_query_top5_slice; distinct_queries=2; engines=google_web; repeat Yandex visibility not observed in this partial top5"
