cluster_id,representative_query,supporting_queries,primary_intent,funnel,yandex_serp_type,demand_evidence,demand_score,business_value,commercial_intent,product_evidence,serp_feasibility,penalty,priority,status,target_url,decision_reason,data_quality
cl-website-chat,"чат поддержки для сайта","чат для сайта; онлайн чат для сайта; виджет чата для сайта; web sdk чат",solution,MOFU/BOFU,"feature/solution landing; comparison","Wordstat Россия: чат для сайта broad 3432 / phrase 129; онлайн чат broad 199 / phrase 52; виджет чата broad 39 / phrase 3",5,5,5,5,4,0,97,"wave_1","/website-support-chat/","Отдельный сценарий и CTA; SERP принимает solution pages; Web SDK, сообщения, файлы, presence и CSAT подтверждены","Wordstat Россия + SERP 2×TOP-5"
cl-ai-support-bot,"ии бот поддержки","ии бот поддержки клиентов; чат бот для поддержки клиентов; автоматизация клиентской поддержки; бот первой линии",solution,MOFU,"guide; feature/solution landing","Wordstat Россия: ии бот поддержки broad 340 / phrase 17; чат-бот для поддержки broad 60 / phrase 0",4,5,3,4,4,0,81,"wave_1","/ai-support-bot/","Спрос и продуктовый сценарий подтверждены; страница закрывает gap между общими guides и реальным workflow sandbox→publish→handoff","Wordstat Россия + SERP 2×TOP-5; AI зависит от конфигурации"
cl-support-sla,"контроль sla","sla поддержки; контроль сроков ответа; просроченные обращения; распределение обращений",informational_solution,MOFU,"guide","Wordstat Россия: контроль SLA broad 242 / phrase 36",4,5,2,5,4,0,80,"wave_1","/support-sla/","SERP информационный, поэтому нужна гибридная solution/guide page с конкретным workflow workload→assignment→pause→rescue, без обещания результата","Wordstat Россия + SERP 2×TOP-5"
cl-support-automation,"автоматизация клиентской поддержки","автоматизация службы поддержки; сценарии поддержки; бот первой линии",solution,MOFU,"guide; product page","Wordstat все регионы: broad 24 / phrase 0; релевантный SERP",2,5,3,4,3,0,68,"merged","/ai-support-bot/","Самостоятельная страница дублировала бы intent AI-сценариев; формулировки используются как supporting cluster",medium
cl-omnichannel,"омниканальная поддержка","обращения из разных каналов; единое окно поддержки",solution,MOFU,"guide; agency; product","Wordstat Россия: broad 14 / phrase 3",1,5,3,4,2,0,60,"defer","/","Спрос мал, SERP смешанный, а сильные claims по VK/MAX требуют live-gate; текущая главная уже владеет темой",medium
cl-helpdesk-business,"helpdesk для бизнеса","helpdesk; help desk для службы поддержки; система helpdesk",commercial_investigation,MOFU/BOFU,"homepage; comparison; feature landing","Wordstat Россия: helpdesk broad 2361 / phrase 4; варианты helpdesk система exact 0; broad шумный и навигационный",1,5,5,5,3,-15,59,"keep_existing","/","Отдельная страница каннибализирует главную; сначала накопить query/page data и уточнить позиционирование главной",medium
cl-support-system,"система поддержки клиентов","сервис поддержки клиентов; платформа клиентской поддержки; программа поддержки клиентов",commercial_investigation,MOFU,"comparison; homepage; feature landing","Wordstat Россия: broad 329 / phrase 0; соседние exact-фразы 0",1,5,4,5,3,-15,55,"keep_existing","/","Коммерческий SERP есть, но точный спрос слаб и тема совпадает с главной; новая страница не проходит каннибализационный gate",medium
cl-appeals-accounting,"система учета обращений","сервис для работы с обращениями; работа с обращениями клиентов",mixed,MOFU,"government/public-sector; product","Wordstat Россия: broad 755 / phrase 3; related queries преимущественно об обращениях граждан",3,4,1,5,2,-10,50,"defer","","Высокий broad скрывает другой intent; нужен отдельный SERP и Wordstat-анализ B2B-модификаторов",low_medium
cl-distribution,"распределение обращений","распределение обращений клиентов; назначение операторов",mixed_solution,MOFU,"product docs в Яндексе; legal/informational в Google","Wordstat все регионы: broad 31 / phrase 0",1,5,2,5,2,-10,49,"defer","/support-sla/","Часть темы поддерживает SLA-page, но самостоятельный URL откладывается из-за расхождения поисковиков",medium
cl-api,"api службы поддержки","webhook helpdesk; open channel; web sdk api",integration,existing_customer/MOFU,"API docs; support pages чужих API","Wordstat все регионы: broad 37 / phrase 0",1,4,2,5,5,-15,48,"keep_existing","/docs/","Существующая документация полностью владеет техническим intent; новый URL создаст каннибализацию",medium
cl-single-window,"единое окно поддержки","единое окно поддержки клиентов",mixed,MOFU,"нецелевые новости/госуслуги","Wordstat все регионы: broad 5 / phrase 0; 9 из 10 SERP не относятся к B2B helpdesk",0,4,0,4,0,0,32,"reject","","Формулировка не образует релевантный коммерческий кластер",high_for_rejection
cl-telegram-support,"поддержка клиентов telegram","telegram поддержка клиентов; телеграм бот поддержки клиентов",navigational_brand,irrelevant,"поддержка самого Telegram","Wordstat Россия: broad 14 / phrase 0; 10 из 10 SERP не соответствуют задаче",1,4,0,3,1,-10,27,"defer_requery","","Нужен другой representative query; текущую формулировку нельзя использовать как коммерческий ключ",high_for_rejection
